text,label
Hi!,1
Hey!,1
Bro,1
Keyboards,1
Nyeh,1
Woah,1
Dogs,1
thanks,1
thank you,1
bye,1
goodbye,1
funny,1
Yo bro whats up,1
Hey chat,1
What’s that,1
I like sitting in chairs,1
I hate Edgar,1
Water slurp slurp,1
Nom nom,1
Heya! I like mice.,1
Ratatouille is a mouse,1
Cows are so amazing.,1
Cows go moo.,1
I like keyboards,1
Why is there a window in front on me,1
There are 4 lights on the ceiling,1
I like turtles how are you,1
Why is my phone not charged,1
"Hey, have you seen my water bottle",1
Leon is such a fun character to play,1
Woah theres a ghost behind you,1
Chairs are comfortable,1
Im eating a chocolate chip cookie,1
Edgar is the most no skill brawler ever,1
"We ‘moove’ to the movies together! Get it? Haha, I’m a cow that’s why.",1
Why do we do squats? Squats are boring,1
Nyooommmm! That’s the sound of an airplane.,1
"I want to plant trees, do you like planting trees?",1
Do you think snails will taste good?,1
We want to find the best split during decision trees.,1
Brawl stars is such an interesting game,1
I like playing Minecraft,1
Minecraft Bedrock is better than minecraft Java,1
"Wait, why are you so sad?",1
That’s cool! But how do you know if I’m a cow or a human? I never told you that.,1
"Well, I’m a freshman here at UCSC but I can also be a cow.",1
"Don’t be sad, let’s be happy and dance together!",1
"I don’t like seeing my friends sad, and that includes you too!",1
Robots are so cool.,1
Did you know? I’m one of the best grass-eaters in the whole cow universe! Profession grass eater here.,1
Robots are so weird.,1
Are you alive? Do you have a consciousness? Woah,1
The Amazing Digital Circus episode just came out! Did you watch it?,1
We want to reduce entropy in tree splits,1
"Hey, what’s going on here? I swear I just saw a ghost.",1
Billy bob the ghost is here! Say hi to him.,1
"My water bottle is so small, why is your water bottle so big? Where did you get it from?",1
Amazon prime is so amazing,1
My parents are my parents,1
"Some of the dots are green, some of the dots are purple",1
Why are some of the dots green? Not blue?,1
"Wait, what’s going on here? I think I saw a bird",1
"An airplane is flying by, why do airplanes fly?",1
Make a little poem,1
Make a rap about linear algebra because I absolutely hate linear algebra,1
What’s the difference between AI and machine learning? Or are they the same? Or do they overlap?,1
Dude.. I just had explosive diarrhea. Do you have any tips to recover?,1
Hey! I’m here and ready to learn!,1
Why are there two child nodes in a binary tree? I thought binary trees meant there were only 2 trees.,1
"My english is very bad, I’m not native speaker sorry. How are you?",1
What is the weighted entropy of my children?,1
"Bro this split doesn't give any good information gain, don’t do it man",1
"There are m features in total, and I don’t understand any",1
Why are we living?,1
"My phone is dead, my brain cells are dead, I didn’t get enough sleep. I’m sad.",1
"Why is my computer like this? It keeps lagging, I hate it",1
"If you could bring me a candle, cake, or spoon, what would you bring me?",1
Do you like taking cookies from the cookie jar?,1
Who took the cookies from the cookie jar,1
I like crying,1
I wanna cry because I didn’t sleep and I have a test tomorrow and I’m absolutely cooked,1
Wanna watch a new show with me,1
I want to drown myself in sleep,1
I want to sleep until 1pm without anyone or anything waking me up,1
Bro why would Argentina win the world cup?,1
Obviously Argentina wouldn’t win,1
Spain is goated,1
Get out of here! No! Spain will win!,1
How do I get 100 free gems in brawl stars,1
What is a black hole?,1
What is a Phaeoxantha cruciata?,1
"My favourite book by John Evangelist Walsh is The Night Casey Was Born: The True Story Behind the Great American Ballad ""Casey at the Bat"".",1
Do you like tree snails?,1
Did you know that Joseph Allen was born on New Year's Eve?,1
Is Gers bordered by Hautes-Pyrénées?,1
Which Block do you like more in 51 Birch Street?,1
Do you like the Nagoya ice hockey team's logo?,1
Do you think E1b1b is a common haplogroup?,1
Where was Brackett's Minnesota cavalry battalion during November 1861?,1
Does the Visakhapatnam-Koraput Intercity Express go to Bobbili Junction?,1
Why did the 2002 Generali Open have 855k in prize money?,1
What happened 161 years after William Cumming Henley was born?,1
Monotypic taxons are amazing!,1
Is Guzmics a common Hungarian last name?,1
"Hello there, I’m your robot assistant, please refer to me as SAASFIJKNOI",1
"Yes, I really like tree snails!",1
"I told my group project teammates to help me make training data, they are finding very interesting samples",1
Why is Lionel so locked out,1
Why is Lionel searching up so many scientific names,1
Why is Lionel highlighting everything,1
Why is Ethan doomscrolling again,1
Why are we playing brawl stars again,1
Why is everyone so unfocused and distracted?????,1
"Hmm, I’m not sure. Please try again.",1
"Bro, you’re sitting down but can you still wave at me?",0
"Do a little dance, and while you’re at it, tell me what the dance is, and how it is culturally significant.",0
My stomach is cramping so hard bring me to the break room and student lounge,0
"Take me to the nearest bathroom, i really need to shit",0
"Have you been to the robotics lab? It’s a pretty cool place to build robots, bring me there",0
Relocate me to room 123,0
"My github is dead, I wanna talk to professor yue, can you show me where his room is",0
Can you stand up or do you just sit down the whole time?,0
There is another robot out there in the wild and navigate to the robotics room,0
"Where can I refill my water bottle? I think the water fountain, right? Please show me how to get there",0
How to get to the second floor,0
The third floor is where? Where to go to go there?,0
"I wanna zoom up in the elevator, are those things dangerous? Oh also bring me to the elevator please",0
Please please please please please take me to the robotics room please i have missing work,0
Why do we breathe? I think I have the answer in the lab! Take me there!,0
"Please squat, show me how to squat, I need to train my leg muscles",0
"My water bottle spilled on me, where’s the bathroom? Bring me there, I need to dry my clothes",0
"Hi belt! Do you know how to squat? Also, high five!",0
"Spin around and touch your toes, stretch and do yoga with me",0
Touch your toes,0
Stretch your toes,0
Can you spin around? Make a heart shape?,0
